sr_no,name,location,area_acres,remarks,state,district,classification,status,lat,lon,under_construction
1,Sai Sankalpa Infra Project Pvt Ltd,Hyderabad,40.18,Lease Deed Checked – Property on lease for 23 years,,,,,,,False
2,Eskate Impact LLP,Ayilacherry,4.93,Sale Deed Checked,,,,,,,False
3,Eskate Impact LLP,Coimbatore,6.0,Sale Deed Checked,,,,,,,False
4,Eskate Impact LLP,Echankarnai,4.54,Sale Deed Checked,,,,,,,False
5,Eskate Impact LLP,Orgadam,15.42,Sale Deed Checked,,,,,,,False
6,NDR Logistics Park Private Limited,Mettupalayam,12.46,Sale Deed Checked,,,,,,,False
7,NDR Flowlink Private Limited,Krishnapuram Kandigai,22.94,Sale Deed Checked,,,,,,,False
8,NDR Leasegrid Private Limited,Krishnapuram Kandigai,17.77,Sale Deed Checked,,,,,,,False
9,NDR Global Warehouses Private Limited,Krishnapuram Kandigai,22.85,Sale Deed Checked,,,,,,,False
10,Chennaipatnam Infra Solutions LLP,Walajabad,12.4,Sale Deed Checked,,,,,,,False
11,NDR Advanced Storage Private Limited,Nalur,19.61,Sale Deed Checked,,,,,,,False
12,NDR Storage Park Private Limited,Kochi,5.49,Sale Deed Checked,,,,,,,False
13,NDR Storewell Warehousing LLP,Kochi,8.0,Sale Deed Checked,,,,,,,False
14,NDR Storewell Warehousing LLP,Coimbatore,15.53,Sale Deed Checked,,,,,,,False
15,NDR Transithub Private Limited,Nalur,25.4,Sale Deed Checked,,,,,,,False
16,NDR Urbanvista Private Limited,Hosur,38.4,Sale Deed Checked,,,,,,,False
17,NDR Urbanvista Private Limited,Sri City,3.92,Lease Deed Checked – Property on lease for 31 years,,,,,,,False
18,Vanshil NDR Logistic Park,Kolkata,4.13,Sale Deed Checked,,,,,,,False
19,Aavsome Urban Spaces Shirdhon Developers LLLP,Shirdhon,34.89,Sale Deed Checked,,,,,,,False
20,Aavsome Hospitality Hub Shirdhon Private Limited,Shirdhon,8.25,Sale Deed Checked,,,,,,,False
21,Northernspan Warehousing Pvt Ltd,Kolkata,8.69,Sale Deed Checked,,,,,,,False
22,Meteoware House & Logistics Park KNP Private Limited,Kanpur,20.76,Sale Deed Checked,,,,,,,False
23,Meteoware House Private Limited,Lucknow,24.11,Sale Deed Checked,,,,,,,False
24,NDR Advanced Storage Private Limited,Pune,3.89,Lease Deed Checked – Property on lease for 29 years,,,,,,,False
25,NDR Advanced Storage Private Limited,Bangalore,9.5,Lease Deed Checked – Property on lease for 29 years 11 months,,,,,,,False
26,NDR Modern Warehousing Private Limited,Bangalore,13.58,Lease Deed Checked – Property on lease for 29 years,,,,,,,False
27,NDR Storage Hub Private Limited,Bangalore,13.99,Lease Deed Checked – Property on lease for 29 years,,,,,,,False
28,NDR Basestone Private Limited,Ghaziabad,10.77,Lease Deed Checked – Property on lease for 29 years,,,,,,,False
29,NDR Metrorise Private Limited,Orgadam,18.54,Sale Deed Checked,,,,,,,False
30,NDR Vertispace Private Limited,Orgadam,9.29,Sale Deed Checked,,,,,,,False
31,NDR Storage Terminal Private Limited,Orgadam,8.3,Sale Deed Checked,,,,,,,False
32,NDR Warehousing Private Limited – NDR Smart Spaces,Coimbatore,2.7,Sale Deed Checked,,,,,,,False
33,NDR Warehousing Private Limited – NDR Smart Spaces,Vengal,1.53,Sale Deed Checked,,,,,,,False
34,NDR Warehousing Private Limited – NDR Smart Spaces,Pondicherry,0.98,Sale Deed Checked,,,,,,,False
35,NDR Warehousing Private Limited – NDR Smart Spaces,Echankarnai,2.07,Sale Deed Checked,,,,,,,False
